2024-02-21 03:52:42.219434|INFO    |ServerLibPriv |   |TeamSpeak 3 Server 3.13.7 (2022-06-20 12:21:53)
2024-02-21 03:52:42.219574|INFO    |ServerLibPriv |   |SystemInformation: Linux 5.15.0-91-generic #101-Ubuntu SMP Tue Nov 14 13:30:08 UTC 2023 x86_64 Binary: 64bit
2024-02-21 03:52:42.219608|INFO    |ServerLibPriv |   |Using hardware aes
2024-02-21 03:52:42.220918|INFO    |DatabaseQuery |   |dbPlugin name:    SQLite3 plugin, Version 3, (c)TeamSpeak Systems GmbH
2024-02-21 03:52:42.220955|INFO    |DatabaseQuery |   |dbPlugin version: 3.11.1
2024-02-21 03:52:42.221286|INFO    |DatabaseQuery |   |checking database integrity (may take a while)
2024-02-21 03:52:42.243415|WARNING |Accounting    |   |Unable to open licensekey.dat, falling back to limited functionality
2024-02-21 03:52:42.243564|INFO    |Accounting    |   |Licensing Information
2024-02-21 03:52:42.243582|INFO    |Accounting    |   |licensed to       : Anonymous
2024-02-21 03:52:42.243592|INFO    |Accounting    |   |type              : No License
2024-02-21 03:52:42.243606|INFO    |Accounting    |   |starting date     : Tue Feb  1 00:00:00 2022
2024-02-21 03:52:42.243616|INFO    |Accounting    |   |ending date       : Thu Jul  1 00:00:00 2027
2024-02-21 03:52:42.243625|INFO    |Accounting    |   |max virtualservers: 1
2024-02-21 03:52:42.243633|INFO    |Accounting    |   |max slots         : 32
2024-02-21 03:52:42.743734|ERROR   |Accounting    |   |local accounting reports an already running instance, instance will shutdown
2024-02-21 03:52:42.808299|INFO    |              |   |Puzzle precompute time: 542
2024-02-21 03:52:42.809168|ERROR   |FileManager   |   |bind failed on 0.0.0.0:30033; reason: Address already in use
2024-02-21 03:52:42.809260|ERROR   |FileManager   |   |bind failed on [::]:30033; reason: Address already in use
2024-02-21 03:52:42.809284|ERROR   |FileManager   |   |Could not bind filetransfer listen port on default addresses
2024-02-21 03:52:42.809298|CRITICAL|VirtualSvrMgr |   |Could not start file manager 258 no network port available
