2024-02-21 12:58:07.495223|INFO    |VirtualServerBase|1  |listening on 0.0.0.0:9987, [::]:9987
2024-02-21 21:55:31.562442|INFO    |VirtualServer |1  |servergroup 'Server Admin'(id:6) was renamed to 'Admin' by 'nferdica'(id:3)
2024-02-21 21:55:37.859838|INFO    |VirtualServer |1  |servergroup 'Guest'(id:8) was renamed to 'Visitante' by 'nferdica'(id:3)
2024-02-21 21:58:22.920762|INFO    |VirtualServer |1  |permission 'i_icon_id'(id:145) with values (value:-1501016438, negated:0, skipchannel:0) was added by 'nferdica'(id:3) to servergroup 'Admin'(id:6)
2024-02-21 22:01:24.848321|INFO    |VirtualServer |1  |servergroup 'Admin'(id:6) was renamed to 'Founder' by 'nferdica'(id:3)
2024-02-21 22:01:32.875546|INFO    |VirtualServer |1  |servergroup 'Normal'(id:7) was renamed to 'Verificado' by 'nferdica'(id:3)
2024-02-21 22:01:42.319528|INFO    |VirtualServer |1  |permission 'i_icon_id'(id:145) with values (value:1129933666, negated:0, skipchannel:0) was added by 'nferdica'(id:3) to servergroup 'Verificado'(id:7)
2024-02-21 22:01:51.732354|INFO    |VirtualServer |1  |client 'nferdica'(id:3) was added to servergroup 'Verificado'(id:7) by client 'nferdica'(id:3)
2024-02-21 22:01:57.735391|INFO    |VirtualServer |1  |client 'guizinh0'(id:8) was added to servergroup 'Verificado'(id:7) by client 'nferdica'(id:3)
2024-02-21 22:02:03.987705|INFO    |VirtualServer |1  |client 'LBZ (LEOZIN)'(id:7) was added to servergroup 'Verificado'(id:7) by client 'nferdica'(id:3)
2024-02-21 22:02:09.015896|INFO    |VirtualServer |1  |client 'mestre'(id:6) was added to servergroup 'Verificado'(id:7) by client 'nferdica'(id:3)
2024-02-21 22:02:55.856487|INFO    |VirtualServer |1  |servergroup '1'(id:9) was added by 'nferdica'(id:3)
2024-02-21 22:02:58.612645|INFO    |VirtualServer |1  |servergroup '2'(id:10) was added by 'nferdica'(id:3)
2024-02-21 22:03:12.107048|INFO    |VirtualServer |1  |servergroup '1'(id:9) was renamed to '10' by 'nferdica'(id:3)
2024-02-21 22:03:14.643006|INFO    |VirtualServer |1  |servergroup '2'(id:10) was renamed to '11' by 'nferdica'(id:3)
2024-02-21 22:03:18.371627|INFO    |VirtualServer |1  |servergroup '12'(id:11) was added by 'nferdica'(id:3)
2024-02-21 22:03:21.170284|INFO    |VirtualServer |1  |servergroup '13'(id:12) was added by 'nferdica'(id:3)
2024-02-21 22:03:24.990571|INFO    |VirtualServer |1  |servergroup '14'(id:13) was added by 'nferdica'(id:3)
2024-02-21 22:03:28.218411|INFO    |VirtualServer |1  |servergroup '15'(id:14) was added by 'nferdica'(id:3)
2024-02-21 22:03:30.998335|INFO    |VirtualServer |1  |servergroup '16'(id:15) was added by 'nferdica'(id:3)
2024-02-21 22:03:33.482371|INFO    |VirtualServer |1  |servergroup '17'(id:16) was added by 'nferdica'(id:3)
2024-02-21 22:03:36.534290|INFO    |VirtualServer |1  |servergroup '18'(id:17) was added by 'nferdica'(id:3)
2024-02-21 22:03:40.372430|INFO    |VirtualServer |1  |servergroup '19'(id:18) was added by 'nferdica'(id:3)
2024-02-21 22:03:43.604050|INFO    |VirtualServer |1  |servergroup '20'(id:19) was added by 'nferdica'(id:3)
2024-02-21 22:03:47.182905|INFO    |VirtualServer |1  |servergroup '21'(id:20) was added by 'nferdica'(id:3)
2024-02-21 22:04:04.381623|INFO    |VirtualServer |1  |servergroup '10'(id:9) was renamed to 'GC 10' by 'nferdica'(id:3)
2024-02-21 22:04:07.645437|INFO    |VirtualServer |1  |servergroup '11'(id:10) was renamed to 'GC 11' by 'nferdica'(id:3)
2024-02-21 22:04:10.029634|INFO    |VirtualServer |1  |servergroup '12'(id:11) was renamed to 'GC 12' by 'nferdica'(id:3)
2024-02-21 22:04:12.505517|INFO    |VirtualServer |1  |servergroup '13'(id:12) was renamed to 'GC 13' by 'nferdica'(id:3)
2024-02-21 22:04:15.183589|INFO    |VirtualServer |1  |servergroup '14'(id:13) was renamed to 'GC 14' by 'nferdica'(id:3)
2024-02-21 22:04:17.428307|INFO    |VirtualServer |1  |servergroup '15'(id:14) was renamed to 'GC 15' by 'nferdica'(id:3)
2024-02-21 22:04:20.227862|INFO    |VirtualServer |1  |servergroup '16'(id:15) was renamed to 'GC 16' by 'nferdica'(id:3)
2024-02-21 22:04:22.883672|INFO    |VirtualServer |1  |servergroup '17'(id:16) was renamed to 'GC 17' by 'nferdica'(id:3)
2024-02-21 22:04:25.283743|INFO    |VirtualServer |1  |servergroup '18'(id:17) was renamed to 'GC 18' by 'nferdica'(id:3)
2024-02-21 22:04:27.927737|INFO    |VirtualServer |1  |servergroup '19'(id:18) was renamed to 'GC 19' by 'nferdica'(id:3)
2024-02-21 22:04:30.547528|INFO    |VirtualServer |1  |servergroup '20'(id:19) was renamed to 'GC 20' by 'nferdica'(id:3)
2024-02-21 22:04:36.211529|INFO    |VirtualServer |1  |servergroup '21'(id:20) was renamed to 'GC 21' by 'nferdica'(id:3)
2024-02-21 22:13:02.171646|INFO    |VirtualServer |1  |permission 'i_icon_id'(id:145) with values (value:-933506552, negated:0, skipchannel:0) was added by 'nferdica'(id:3) to servergroup 'GC 10'(id:9)
2024-02-21 22:13:13.043407|INFO    |VirtualServer |1  |permission 'i_icon_id'(id:145) with values (value:1151055728, negated:0, skipchannel:0) was added by 'nferdica'(id:3) to servergroup 'GC 11'(id:10)
2024-02-21 22:13:22.321467|INFO    |VirtualServer |1  |permission 'i_icon_id'(id:145) with values (value:-155419082, negated:0, skipchannel:0) was added by 'nferdica'(id:3) to servergroup 'GC 12'(id:11)
2024-02-21 22:13:25.741343|INFO    |VirtualServer |1  |permission 'i_icon_id'(id:145) with values (value:555722970, negated:0, skipchannel:0) was added by 'nferdica'(id:3) to servergroup 'GC 13'(id:12)
2024-02-21 22:13:31.398347|INFO    |VirtualServer |1  |permission 'i_icon_id'(id:145) with values (value:1410053125, negated:0, skipchannel:0) was added by 'nferdica'(id:3) to servergroup 'GC 14'(id:13)
2024-02-21 22:13:35.074300|INFO    |VirtualServer |1  |permission 'i_icon_id'(id:145) with values (value:-1004891139, negated:0, skipchannel:0) was added by 'nferdica'(id:3) to servergroup 'GC 15'(id:14)
2024-02-21 22:13:38.265542|INFO    |VirtualServer |1  |permission 'i_icon_id'(id:145) with values (value:-218394945, negated:0, skipchannel:0) was added by 'nferdica'(id:3) to servergroup 'GC 16'(id:15)
2024-02-21 22:13:40.897506|INFO    |VirtualServer |1  |permission 'i_icon_id'(id:145) with values (value:-242172438, negated:0, skipchannel:0) was added by 'nferdica'(id:3) to servergroup 'GC 17'(id:16)
2024-02-21 22:13:43.753128|INFO    |VirtualServer |1  |permission 'i_icon_id'(id:145) with values (value:-218394945, negated:0, skipchannel:0) was added by 'nferdica'(id:3) to servergroup 'GC 18'(id:17)
2024-02-21 22:13:48.310933|INFO    |VirtualServer |1  |permission 'i_icon_id'(id:145) with values (value:-1732314449, negated:0, skipchannel:0) was added by 'nferdica'(id:3) to servergroup 'GC 18'(id:17)
2024-02-21 22:13:51.961683|INFO    |VirtualServer |1  |permission 'i_icon_id'(id:145) with values (value:1716397769, negated:0, skipchannel:0) was added by 'nferdica'(id:3) to servergroup 'GC 19'(id:18)
2024-02-21 22:13:54.281226|INFO    |VirtualServer |1  |permission 'i_icon_id'(id:145) with values (value:1748682426, negated:0, skipchannel:0) was added by 'nferdica'(id:3) to servergroup 'GC 20'(id:19)
2024-02-21 22:13:56.961156|INFO    |VirtualServer |1  |permission 'i_icon_id'(id:145) with values (value:-1397593836, negated:0, skipchannel:0) was added by 'nferdica'(id:3) to servergroup 'GC 21'(id:20)
2024-02-21 22:14:17.158578|INFO    |VirtualServer |1  |servergroup 'Ouro 1'(id:21) was added by 'nferdica'(id:3)
2024-02-21 22:14:20.849637|INFO    |VirtualServer |1  |servergroup 'Ouro 2'(id:22) was added by 'nferdica'(id:3)
2024-02-21 22:14:25.381700|INFO    |VirtualServer |1  |servergroup 'Ouro 3'(id:23) was added by 'nferdica'(id:3)
